SSN,FN,LN,DOB,SEX,ADDR,CITY,STATE,ZIP,PHONE
0000010010000001001000000001001100000000100001011001000000100000000000000000010000000000000000000001,0000000000100001000000000000000000000000000011000000000000000001000000000000001000000001000000001000,0000000010000100000000000000000000000000010001001000000100000000010000010000001000000100000100000110,1010000000010011000100000001000000000000000001010000000000000000000110100001000011001000000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001100110010001100011100000010000100000101100101100000000000011010111110000111000100000000100000010,0001010100000000000010000100010000000000010000001100000000011000001100001100000110101101101000000100,0000000000000000000010000000000000000100000000000000000000000000000000000000000000101011000000000000,1001000000000000000000000100000000111000000011010010000000000000000100100000000000000000000000000000,0010100100010010000100000000000100011010010000010010000000100010001000001001000001000010000010000000
1001001001000000000100000001000000000000110000000000100000000000001101100000010000100000000000000000,0010000010100000010010000010000100000000000000001000001000100000000000000000000000100000000000100000,0000100000010000000000000001000010000100000000100001001100000001010010000011001000010010010000100000,0010001011000000000000000100000100000000000010000001000001100010000000000000010010100000000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001100010100001001000100001001010011001100000010110001001010110010001010001001101010101000110000000,0000110100000001010010000001010010000000000001000000000100001000001100010100000101100000100000100000,0000000010000000000000100000000000000000010010001000000000000000000000000010000000000000000000000000,0001000100000000000000100001000000000000000000100100001000010100011000000000000000000100000000000000,0011000010000000000010000000000100000010000100010000100001100010000000100001010000000010010000000000
0000000100000000100000000001110000000001000000110000000001000010010010001000011000000100000000000000,0000000000000101000000010100000110000000000000001001000000000000000001000010000000000000000000100000,0001000000000000100000010000000000000010000100000100000000100000000000000010100010100000001100001000,1001000010000000100000000101000000100000000011010000001011000000001100000000000000000000010000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001010001110100101010000001000000101101101110000100000000100001010000010110111010100010000000000000,0000010100000000000000010000000000000000000000000001000001011001001100000000000101100000100000000001,0000000010000000000000100000000000000000010010001000000000000000000000000010000000000000000000000000,0000000000000000000001000001010001000001000001000000000001100000000011000000010000000000000000000000,0010000000000000000000100001000000000000011011100011100000000010001000100000000010010100100011001000
0100100100000000000100000001000000100010010000010001000000000000010010100000000011000000010000000100,0000000000000000000000000000001010000010000100000100000000100000000000000000001000000100001000100000,0000010011000101010000100000000001000000000001000000001000000000011100000000000100010000000000000000,0000100110000000000000000001000000000000010000000000000001001010001000000010000001000010010000000010,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0111100010000101010001100010100101100001001001000000000100011001011001010101001100101011001001000000,0000110100001100000000010001000000000001000000000001000001111001001100011100001111100000100000000001,0000000000000000000000000001000000000010000000010000000010100000000100000000000000000000000000000000,0010000000000000000000100000000100001000000001100000000000001010000000000010010000000000100000000000,1010000001010010001000000000000000010000001011000010000000000010100101000000010010010100000001001000
1000010100100000000000000010000000000000000001010010100001001000010110101001000000000000000000000001,0010100000000000001000000000000000000000000001000000100100101000100000000000000000000000000000000000,0000000000011000000000000000000100001001000010001000100000000000010000000000010000010100000000000000,1010001010100001000000001000100000000000000000000000000001000010000000001010000010001000000000000010,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0011011000100000010001000100000100110101100001000100000011110001010001010111000010100010110000000000,0000000000000000000011110000000000100000000000001001010001000000000000100001000000000000000000000010,0001100000000000000000000000001000000000000001000000000000100000000000000000000010000000000000000000,0000000000000000001000000000000100100001000000010000000001100000100000000000010001100000010000000000,0011101110000000000000000000000000001100100011000000000010000010001000100010000000000000010001000001
0011000001000010010010010000000000010000001001000010001000110010000000000001000000000100000000000001,0000000010000100000001000000000001001100001110000000000000000000000001010000000000000010000000000010,0000101000010001010100010000101000000000100100000000000000000000000000000000000000100000000000000000,0000000010000000000000100101001000000000110011001011000001010000000000000001000000000010000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001010001100100000110000000100000000101001010000110000100101010010010010110000010100000000000001010,0000000010000001001111110001000000000000000000000001000000000000010010000000000011000100000001100000,0000000000000000000000000001001000100000000000100000000000000001000000000000000000000000001000000000,0010000001100000000000000000000000000000001001000000000000100010000000010000010000100100000000001000,0010100100000000000000100000000000010000001000000010000000000010100000110101010001000100000000001000
0001000110100000000100000001000000000001100000100000000000000010100010110000001000110000000010100010,0010000010000101010000110010000000010000000000000001000001000000000000010100000100001001000000000000,0000000000000001010000000000100000010000000001000000100101000000011100010000000100000000001100000010,0000010110000000001000000000000100000000000000110000000011000000000000000000010000100100010000001001,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001111010010001100010100000010000000010111101001000000100101000010100000010110000100010000110000010,0010000000001000000011010010000000010010011000000001100000000000000010000000000010000000101000000000,0000000000000000000000010000000000100000000000000001000000000101000000000000000000000001000000000000,0001000100100000000010000000000000000100000100100000000000000000000000110000000000000000010000000000,0001001010000000001000000001001000001000100001001000000000000010111001000010010000000000000000000001
0001000000000000000100000101000000101000000111100000001000000000001001000000010001000000110000000000,0000000000000101000000010100000110000000000000001001000000000000000001000010000000000000000000100000,0000000001000000010000010000000001000011000000000000000000000000001000100000000010110010000001000000,1010001011000000100000000100000100000000000010010001000001000010000100000001000010000010000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001000010100000100110100000000001100110010011110001000101100000011001000000010100000111001000000000,0000000001000001000110100000000000000100000001001000000001000000000100000000000100100011011000000000,0000000000000000000010000000010000100000000000000000000000000010000000000000000000100000000100000000,0100010010000000000000100000100000000000000000000001000000011010000000000000000010000000000100000000,0000000010000000000000000101000000100000000001100000100000100001011000001000000000100100000000001001
0100000000000000000000100001010100000000000000010000000001100000000010000000101001010000010010000000,0010000010100000010010000010000100000000000000001000001000100000000000000000000000100000000000100000,0000000000010001000000000001010000000000000000100101000001100000000000000000100000000001001100000010,0110010010100000001000100000000000000000000000000010000001000010000000010000000000000101000000001100,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,1011000000000001000000000001101100000001000100010000001000000010011001010101001001011000010000000000,1010000001110010100000110000000001000000000000010001000001000000000110100010010101100000001000010000,0000000000110000000000000000000000000001100000000000000000000000000000000000001000010000000000000000,0000100000000000000000000001000000001000100001000001100000000000010010100001000010000000000000000000,0011101010000000001000000001000100000000100000000100001000000110010001000011010000001000010000000001
0010000010000000000010000001000010100001001000000100000001000010010000100000000000000100000000001010,0010100010110000000010000000000000000000000000010010100000100000000000010000000000100000100000100000,0000000000000000100000000001000000000000000110001001000001100000000101000010000000000000001001000000,1000000010000000000000001001000000000000101000000100000001000000010010110000010000100000000000100000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001000010000001000011000001000001101100101001011001100100100001011001110011000101100010000010100000,0000000100000000000000000001000000000000000000000001000000001110001000000000000100000011010000000000,0000000001000000000000000000000010000000000001000000000100000000000000000001000000000000000000000001,0000000010000000000010000000000010100000000001000000000010000000000000000001000000000100010000101000,0000000000000000000000000001000000100000010001110000100011100000000010100000100000110000110010001000
0100100000000000000001100001110010000000001000100001000000000000010010010000011010000000100000000100,0000000000000000000000010000000110000000000000001001000000010000000101000001000000000001001000000000,1001100010111001000010000000100000000001000100001000000000001000000000000000011000110000000101100000,1010011010000001001000000000000000000000000000000000000001000000000100000010100000001110000010000001,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,1111010000100000000001110000001000100101001000001101000001101011110101010110111110000000001010000100,0000000010000011010010010000000010000101100000011001000000000000001010010000000000110010110000101010,0000000001000000000000000000000010000000000001000000000100000000000000000001000000000000000000000001,0000001000000000000000000100000000101000000000000000000000100000101010100011000000100000000000000000,0010100110100000100010000000000110000010000011010000000001010010000000000001010001000000000000000000
0100001100000001000000000000100000000000001010010000000000000000000000101010010000001100000001000101,1010000000000000101000100000000000001000001111000000000100100000010000000000000000010010000100000000,0010000000100000100010000010101000000000000000001110101101000000000100000000000100100011001000000000,0010000010000000000000000001000000000000001111000000000001000010001000010000000000010100010010001000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001011000000001000010000000011000000001100100010000001000001000010000010110101001010000000111000001,1000000100010000000000100000011010000001000100011000000000000000000000010100001000010100100000100100,0000000000000000000000000001000000000010000000010000000010100000000100000000000000000000000000000000,0000000010000000000010000001000010000001100000000100000000000010000010100000001000000000000000000000,0100011000000010010000100000000000000000010001000000000000101000000010000011100010000110000010001101
0100000010100000000000000100100001000000000010000001100001100000000000100101000000000100000000000101,0000100000100000000000000000000000000000000010000000000000010001000000000000001001000000000000001010,0001000100000100000010000000010000000000000010100010001100000000000000010000000100000100100001001000,0000000010000001000000100000000000000000001000000011000011000000000100010000000010001101010000001000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001110000110000001011000100010000100101000100011110000000100011010001010110000010100000110100000010,0000000000000001000000000000000110000100001000001010001100000100110100000000000000000110000000100000,0000000000000000000010000000000000000100000000001000000000000000000000000010000000000011000000000000,1000100000000000001000000000000000100000000001010000000001000000110100000000000000000000000000000000,1010100100000000100100000100000000010000000000010110100000110100000100001001100001000010000010000000
0101000010000000000011100000110000000000000001000011100001000000010010100001010000000000000000100000,0010000010000100000000100010001000000000000100000000000000000000000000010000000100000000000000000000,0000000000000000000000000000101000000001000100100010100100000100001000000100001100001001000000000000,1100000110000000001000001000000000000000000000100011000001000010100000000000000010000001000000000100,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0011110010000000001010100011000100000111100001000100100100100000010000100110010010100000000000000000,0000000110101000101000100001010100000100100001011010001100000000000000001010000000000010100000100000,0000001000000000000000010010001000000000100100000000000000000000000000000000000000000000000000000000,0000010010100000000000000000000000000000000000010001000000001000000000010000010000100000000000100001,0000000000000000000100100001000000100000110001000100100000100000000011100001110010010100000000000001
0001000101010011000010000000000100000010011000010011000000000000000000100000010001001000000000000000,1000000000000000000000100001000100000010000000000001000000110000010000000001000000000001000100000000,0000000000000001000000001000001000010001000100000000000000000000100010001000001001000000000000001101,0010100010000000000000000000001100000000000000001001000001000010010000000001000010000010000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001010000100000010001000001001010111101100000010110100010100011010011110111000111100100110000001001,0000000000100000000000000000001000000000000000000000000001100010010000000000001100000011001100001000,0000000000001100000000010000000000000000000000000001000000000000000000001000000010000000000000000000,0000000100100000001000000000000000000000010000100000000010001000100000010010000000000010010000000000,1011010100100000000010010000000001001001100000000000001001001010001100001000000000000010000000000000
0000000000000000000000000010001000011100000101001010100000010000000000101001000001000000010000000000,1000000000100000100100110000010000000001000000001000000000000000000000000000001000000010000100000000,0000001000010010000000000000101000000000000000010010000001100000000000100000010000000000000000010000,1000001000000000000100100101000000000000100010000000100000010000000100000010000001000000000000001000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,1001100100010000000000100001111010011011101001001000000100100001011001011101110001010100000000000011,0000000010000000000110101000000000000000011110000010100100000000000001000100000000000000000000000000,0000000000000000000000110000000001000000010000000001000000000000000000100000000000000000000000000000,0001000100000000000010100000000100001000000001100000000000010000000000000001010000000000000000000000,1000100000000000000001010000010100101001000011000000101000000010000000001000010000100000000011001000
1000000100000000000000000001000000000000000011100000100000100010001010000000111000001000010011001000,0000000001000000000100000001000000000000011100000001100000000000001000000000000100100000000001000000,0000101011000100110000010000000001000101000001100000000100000000001010000010000000100010000000000010,1010000010000000000100000000000000010000000011000011000000000010000100000000000001000100000000001000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001101010100001000011000001010001100011100001010000000100100110010010001010101000010001100110100000,1000000010000000000000110001010010000000010010000001000000000000000000000001000000000011000000000000,0000000000000000000000000000100000000000000011000000000100000000000000000000000000000000010000001000,0001000010000000000010100000000000100000000001110001000001000001000100000000000000000000000000000000,1010100101000000001100000001000000110000001000000010000000000010110101000000010000000100000000000001
0000000000000000101100000000000100100001010001010000000001100010100000000001100001000010010010000000,0010100000000000001000000000000000000000000001000000100100101000100000000000000000000000000000000000,0000000000000000010100000001100010100000000000010000100000000000001000000001000001000001000001000000,0010000110100000000000000000000000100000000001100000000001000011000000011000010000100010000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,1001001000010001100010100100010000001101101000001000001000110000110000000011101000111011000100001010,0001101010010001001100100001100000000011000000001001100000000000010100100100000110000100000001000010,0000000001000000000000000000001010000000000100000000000000000000000000000000000000000000000000100001,0000000010000000000100000100000000100000000000000001000000100000000000000000000010000100000000100001,0000000011100000000100000000000000000000001000010001000001010010000000000001010011101000010000000001
1000010010000000001000001101000000011000110011000010000001000000000000000000100000000010000010000001,0000000000001001000000010001010000000001000000000011000000000001010000000010000000010000000000000001,0000000010000000000001000000001010011000000000001100000000000000010001001001000010000110000000000010,1000101011000000001000000100000000100000000111000001000001000000000100000000000010000000010000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0011100110100101010000100010000100010011001001000010000100111000110001111100001100001101001001000000,0000010010000010000000100001000100001000000100000001000000010000100000100000000000000010100000000000,0000000000000000000000001001000000000000000000000000100000000000000000001000000000000001000000000001,0011000000000000000000000000000000001000001000100100000000000010100000110000000000000000100000000000,0010000100000000000000000001000000000001000001010000000001100010000001100000010001010100000010001010
0100100010000010011100000000100000100001000000000011000000000010010000000000000011000100010000000000,0001000000000001000000100001000000000100000000010000000000100000000000001000001011000001000001000000,0000000000010000010000000000000000000000000000001000100000000000101010001000000000000000000001101011,0010000010000000000100100000100100001000010001000000000001010010000000001001010001000010000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0011100000100101100110000000010011001100100001100100000100000010011011110110101100100010100100001000,0000000010000011011100110001000000000100000000000001000000100001011000000010000000000100100001000000,0000000000000000000000000000001000000001000100000100000000000000000000000000001010000000000000000000,0000010000000000000000000001000100000000000011000000000000001000000011000000110000010000000000000000,1100000010000000100000000001101000100000000011011011000000000000001100000000000000010000000001000000
0000000001010010011000100100000000001000011000010000000001100000111100100000000000000100000000000000,0010000000100000110000000000000000000000001001000000000100100000100000000100100000000010000000000000,0000000000000001010010000000000000000000010000010001000000000000001010001010001100100000000000001001,0010001010000000000000000000001100000000000000001000000001100010000000000011010000100010000000000001,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001100010100001100110100001001001010101100001101010101100010000011011111101000100010010000000001000,0001000000000000000000000100000000000000000010000010000100000000000000000000000010001001010000001000,0000000000000000000000000100000000000010000000000000100000110000000000000000001000000000000000000000,0000100000000000000100000110000001000000000000010010000001100000010000000000000000100000000000000001,0100100100000000001010100010000011000000010000100010000001000000000000100000000001001000010000000000
0000101000000001000010010000000010000011000100010000001000010010000000000010000000001000010110000000,0000101000000001001000010000000000000000100000001001000000000000000001000000000000000001000000000000,0000000000000001010100100000000000000000000001010000001000000000011000100000000001000000000000000000,1000010010000000001000001001000100000000010000000000000001100000001000000000010001100010010000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001010011000100010000000001001100100111100101010101000100100000011011000111011110010001101000000001,0000000001000101000001011000000001000000000011000010100000000100010010100000000000010000000000001010,0000001000000001000000000000000000000000000001000000001000000000000000000001000000100000000000000000,0000000000000000000001000001010000100000000001100000000000000001100010100001000000100000000000000000,0010100000000000000010000010001110000010000000011110000001110010010010010000000000000000000100000000
1101000000010010000000001101101000000000100010001000101000010000001000001001000000000000000000000000,0000000000000100000000010010000000000000000010000011001100000000000010010000000100010000000000001010,0000000000000001010000000000000000100000000011000000000000000011001000000000000000000001000001001010,0000100010000000001000000000100000000000000100010100100001000100000000001000000001000000010000001000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0011000000000001000011000001011110111000110000010110000000000111110001100001100000000101000101000000,0000000000000101000000010010000000000000000011000001001000000000010000110000000000010000000000001010,0000000001000000000000000000000010000000000001000000000100000000000000000001000000000000000000000001,0001100100000001000000000001000000000000110000000000000010000000001000100000000000001000010000000000,0010000010000000000010000000000110000000000011000100000000100010010010010000010000100100000000100001
0000001001000011010010000100000111000000000100000000000001100000010010000001010000000100010000000000,0000000000000100000000101001000001000000010000000001000000000000000000100000000100000000000000001000,0000101000001000010100000000100100010000000000000000000000000000001000000000000000000000000011000000,1010001011000000000100000000000000000100000000000001000000000010000100100000000011000000000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001101000100001100110000101010001000101100001100011001100100000011011110110100100010110000100001001,0000100000100010000000000000000100000001000000000000000000011001000000000100101001010001000000001001,0000000000000000000000000001001000100000000000100000000000000001000000000000000000000000001000000000,0010100100100000000000000000000000000000010000000000000000000010000000010000100000000010000010000000,1010001100000000000000100000000000000000000000100000000000010011000001000010010001010100000010001000
0110000010000000001000010001100000000000000000000001101000010010110000000000000010000000000100101000,0010100000110001010000000010000000000000000000000000001000100000000000000000000000001001000000000000,0000000001000001000000000001001010000000000000001000001000000000000001010101000001000101000000000101,0010000010000000000100000000100100100001000000000001000001000010000000001001000011000010000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0011010000100101000001000100000000100101010011000100100000100001011001010111000110100010000000000000,0000000000000100000000000000001000011001000000000000000000000001010000000100100011010100000100000001,0001000000000000000000000000000000000100000000000000000000000000000000000100000010000010000000000000,1011100100000000000000000000000000010000100000000010000000000010000100000000000000000000000000000000,0000100110000001000110100001000011000001001000000010000001000010000100000000000000101101000000000000
0010000010000000000100000000000000000000000000100100000011000100010011100000010001000010110000000000,0010010110000101010001100010000000000000000000000000001000000000000000010000000100000000000000000000,0000001010000000010000110000010100000001000000000001001000010000001000000000000000000000000000000000,0110011011000000000000100100000000000000000010000001000001001000000000000000000010000000000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,1011000010000100000010000101100001100001100010100000000001010001011001000010000000110010000000001000,0000000001000000100000010000000000000001001000000001000000000000000000011100100000010010000000000010,0000000000010000000000000000000000000010000100000000000000100000000000100000010000000000000000000000,0000101100000000001000000000000000000000000100100000000000001000010000000010000000000100010000000000,0001101001000000001000000100000010001000001000100001100000110001110000100001001010000100000000000000
1000000000000001000001000000010110000100001110000000100000000000000000111000011000000000010001001000,0000000000000010000000110000000000000100000000000001010000000000000010000000000000010010000000000000,0000000000100000000000000000001000000000000001000000000001000010011000000000001100000101001100000100,0000000010000000100000000100000000010000000000010010000011110010010000000001000000000100010000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,1001000100000101001010000000101011011001000000110100000001010000010001010011001101110101000100000000,0000000001000000100000010000000000000001001000000001000000000000000010000100100000110010100000000000,0000001000000000000000010010001000000000100100000000000000000000000000000000000000000000000000000000,0000000000000000000001100000010100001000000001000000000000001000000100000010010000100000000000000000,1010100000100000001000000000000100000100000000000000000011010010010110100001010000000100010000001000
0000001101010010000000000000000000100000000001000001000000100000000000001000100011010100000000000001,0010000000000000000000010000100000000000001000000011000100110000110100000000000000000110000100000000,0000000000000011010000000000100000000000010001000000100000000000001010100000000000000000000001010000,0101010010000000001000100100000000000000100001010001000001100000000000000000000000000000000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,1001000000010001000000000101110000001011010001010011000100100000011001100000000011010000010000000000,0000000000000101100010000000101000000100000101000000100000000000000000000010000000100011000000000000,0000000000010100000000000000000000000000000000000000100000000000100000000000010000000000000010000000,1001000000000000000001001000010000011000000000000010000000000000010110000000000000000000000000000000,0011001001000001000110000001000010001000001000100000000000000001011010000000000011011100000010000000
0000000110000000000100100001000001000000000000100000000011000001000010000000110000110100010000001000,0010000000100000010000010000000000001000010010010000010000100000000010000000000000000000000000000000,0000000000000000000000000000000000100000000001001000000100000001000000001100000110000000000000000010,0010000010000000000001000001010000010000000000000010100011000000000010100000000010000000010000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001010010000001000000000000000100000111000111011101000100110001010000000110111010001000000000000000,0000010000000000110010000000000000000101000000000100000000000000000000010000001000100010001000000010,0000000000000000000000100001000000000010000000100001000000100000000000000000000000000000000000000000,0000000010000000000000000001011000100000100001001000000000000000000000000001001000100000000000000001,0001100100000000000000000001001000000001101101011000000001100000000011010000010000000000010000000000
